Артикул;Состояние;Цена;Количество;Название;Мощность;Питание процессора;Питание видеокарты;Фото
5001;хорошее;3000;1;;300;4;;noname_80.jpg
5002;хорошее;3000;1;Dicsor;300;4;;noname_80.jpg
5003;хорошее;3000;1;Power Man;300;4;;power_man_300.jpg
5004;среднее;3000;1;HP;340;4;;hp_340.jpg
5005;хорошее;3500;1;Huntkey;350;4;;huntkey_350.jpg
5006;хорошее;4500;1;;400;4;;noname_120.jpg
5007;среднее;4000;1;Crown;400;4;;crown_400.jpg
5008;среднее;4000;5;Vortex;400;4;;vortex_400.jpg
5009;хорошее;4500;1;LC;400;4;;noname_80.jpg
5010;хорошее;4500;1;Huntkey;400;4;;
5011;хорошее;5500;1;Huntkey;450;4;;huntkey_350.jpg
5012;хорошее;6000;1;AeroCool;400;8;6;
5013;хорошее;7000;1;Raptor;450;8;2x6;raptor_450.jpg
